FII DERIVATIVES STATISTICS FOR 29-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12203,2418.05,18351,3640.35,158146,31338.12
BANKNIFTY FUTURES,3525,721.55,4587,940.82,39523,8128.38
FINNIFTY FUTURES,45,8.10,36,6.48,412,74.34
MIDCPNIFTY FUTURES,846,159.59,716,135.09,15637,2958.32
NIFTY FUTURES,7700,1513.52,12959,2548.67,102071,20088.36
NIFTYNXT50 FUTURES,87,15.29,53,9.30,503,88.73
,,,,,,
INDEX OPTIONS,4562816,892807.10,4574254,895024.57,1471380,288587.63
BANKNIFTY OPTIONS,88789,18271.85,84137,17306.63,154353,31541.08
FINNIFTY OPTIONS,5158,940.77,4762,865.82,3679,659.72
MIDCPNIFTY OPTIONS,23664,4496.31,24298,4602.70,22844,4295.37
NIFTY OPTIONS,4445102,869079.82,4460989,872237.29,1290426,252077.76
NIFTYNXT50 OPTIONS,103,18.34,68,12.12,78,13.70
,,,,,,
STOCK FUTURES,333922,22025.90,313773,21192.32,5883466,402227.27
,,,,,,
STOCK OPTIONS,311294,21983.42,317325,22534.51,205701,14017.35
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
