FII DERIVATIVES STATISTICS FOR 06-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11681,2203.06,9998,1861.3,201711,37461.77
BANKNIFTY FUTURES,4930,959.3,2150,418.41,37191,7235.43
FINNIFTY FUTURES,102,17.54,28,4.82,723,124.32
MIDCPNIFTY FUTURES,472,83.9,1105,196.25,20459,3631.31
NIFTY FUTURES,6139,1136.01,6683,1236.51,142593,26347.3
NIFTYNXT50 FUTURES,38,6.3,32,5.31,745,123.41
,,,,,,
INDEX OPTIONS,5892037,1089921.72,5839970,1080505.74,1648108,304903.2
BANKNIFTY OPTIONS,111431,21861.02,113026,22139.96,138968,26951.32
FINNIFTY OPTIONS,10658,1853.23,11102,1929.34,6917,1185.66
MIDCPNIFTY OPTIONS,28147,5068.89,28560,5155.61,13918,2462.23
NIFTY OPTIONS,5741766,1061132.68,5687228,1051271.7,1488286,274300.85
NIFTYNXT50 OPTIONS,35,5.9,54,9.12,19,3.14
,,,,,,
STOCK FUTURES,254689,17309.31,276755,18707.24,5390399,364942.95
,,,,,,
STOCK OPTIONS,257380,18393.29,258569,18568.43,234176,15902.47
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
