FII DERIVATIVES STATISTICS FOR 05-Dec-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11937,2378.09,10709,2142.71,167294,32942.90
BANKNIFTY FUTURES,4343,903.59,4426,921.01,25476,5269.02
FINNIFTY FUTURES,32,5.80,15,2.73,259,47.16
MIDCPNIFTY FUTURES,567,109.55,313,60.22,15635,3075.92
NIFTY FUTURES,6955,1352.27,5895,1148.46,125266,24437.29
NIFTYNXT50 FUTURES,40,6.88,60,10.30,658,113.50
,,,,,,
INDEX OPTIONS,8291144,1621402.70,8272242,1618101.96,2314342,455439.15
BANKNIFTY OPTIONS,147928,30887.20,147913,30868.94,231345,47937.10
FINNIFTY OPTIONS,7521,1374.68,7310,1337.83,5227,946.83
MIDCPNIFTY OPTIONS,44913,8885.60,45376,8962.55,35731,6998.47
NIFTY OPTIONS,8090518,1580209.48,8071446,1576898.31,2041534,399470.01
NIFTYNXT50 OPTIONS,264,45.74,197,34.32,505,86.75
,,,,,,
STOCK FUTURES,271050,18831.79,252349,17426.23,5842845,397404.44
,,,,,,
STOCK OPTIONS,317791,22783.47,340488,24300.97,393510,26743.89
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
