FII DERIVATIVES STATISTICS FOR 03-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10303,1927.09,12674,2362.88,218008,40560.29
BANKNIFTY FUTURES,4969,942.10,3889,737.28,37318,7107.48
FINNIFTY FUTURES,31,5.19,114,19.05,527,88.61
MIDCPNIFTY FUTURES,435,77.75,543,97.04,24570,4411.58
NIFTY FUTURES,4808,891.91,8091,1503.26,154926,28839.73
NIFTYNXT50 FUTURES,60,10.13,37,6.25,667,112.89
,,,,,,
INDEX OPTIONS,4186839,774036.10,4290211,793359.58,1540430,286149.63
BANKNIFTY OPTIONS,92058,17591.05,93000,17772.58,205613,38909.47
FINNIFTY OPTIONS,9541,1618.52,9508,1611.33,3965,663.19
MIDCPNIFTY OPTIONS,25463,4582.47,24084,4330.98,16967,3034.22
NIFTY OPTIONS,4059717,750233.90,4163566,769635.68,1313724,243515.60
NIFTYNXT50 OPTIONS,60,10.16,53,9.00,161,27.15
,,,,,,
STOCK FUTURES,224239,15652.57,252876,17737.05,5446319,377926.50
,,,,,,
STOCK OPTIONS,233373,17331.70,237166,17599.44,278154,19105.21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
