FII DERIVATIVES STATISTICS FOR 22-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,21350,4005.69,24809,4663.41,218217,40915.32
BANKNIFTY FUTURES,3876,752.48,4654,904.16,42799,8282.99
FINNIFTY FUTURES,70,12.05,97,16.69,740,126.89
MIDCPNIFTY FUTURES,3406,619.34,3813,692.66,22630,4104.74
NIFTY FUTURES,13947,2613.15,16227,3046.85,151299,28274.26
NIFTYNXT50 FUTURES,51,8.67,18,3.05,749,126.45
,,,,,,
INDEX OPTIONS,3366190,635309.78,3378582,637250.19,1582511,296269.05
BANKNIFTY OPTIONS,391480,77372.69,402841,79672.28,228101,44028.72
FINNIFTY OPTIONS,40327,6959.36,41244,7124.32,12686,2170.08
MIDCPNIFTY OPTIONS,92821,16855.29,96532,17519.13,34773,6297.43
NIFTY OPTIONS,2841420,534098.56,2837760,532899.07,1306544,243704.1
NIFTYNXT50 OPTIONS,142,23.88,205,35.39,407,68.72
,,,,,,
STOCK FUTURES,1892773,131041.12,1921080,132811,5680093,393518.73
,,,,,,
STOCK OPTIONS,414293,29894.49,412002,29699.67,433872,29667.49
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
