FII DERIVATIVES STATISTICS FOR 15-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,6330,1195.91,5137,973.48,224314,42362.46
BANKNIFTY FUTURES,1559,300.88,1199,231.40,34373,6636.29
FINNIFTY FUTURES,38,6.54,33,5.69,555,95.60
MIDCPNIFTY FUTURES,657,120.78,241,44.32,24322,4475.91
NIFTY FUTURES,3962,748.14,3663,691.90,164435,31046.50
NIFTYNXT50 FUTURES,114,19.57,1,0.17,629,108.16
,,,,,,
INDEX OPTIONS,4277093,805710.53,4301611,810140.86,2183971,411293.01
BANKNIFTY OPTIONS,90361,17493.43,90750,17551.59,215896,41475.15
FINNIFTY OPTIONS,7487,1292.36,7314,1262.93,5866,1006.34
MIDCPNIFTY OPTIONS,26992,4944.18,26205,4796.96,25385,4656.37
NIFTY OPTIONS,4152122,781958.23,4177283,786519.38,1936541,364106.44
NIFTYNXT50 OPTIONS,131,22.33,59,10.01,284,48.71
,,,,,,
STOCK FUTURES,178090,12192.60,203004,13854.52,5479236,387182.50
,,,,,,
STOCK OPTIONS,319777,22792.63,321323,22967.94,394330,27546.95
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
