FII DERIVATIVES STATISTICS FOR 01-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,18349,3470.83,19169,3598.97,204734,38383.94
BANKNIFTY FUTURES,8031,1557.42,4491,871.52,30609,5965.22
FINNIFTY FUTURES,81,13.90,88,15.09,139,23.96
MIDCPNIFTY FUTURES,1436,255.96,1273,227.13,21734,3887.64
NIFTY FUTURES,8781,1640.14,13192,2463.87,151669,28407.31
NIFTYNXT50 FUTURES,20,3.41,125,21.36,583,99.81
,,,,,,
INDEX OPTIONS,5980849,1109499.33,5922621,1098761.32,1599760,299205.70
BANKNIFTY OPTIONS,196482,38158.46,179433,34718.63,197871,38331.11
FINNIFTY OPTIONS,5302,919.77,5389,934.15,1827,313.30
MIDCPNIFTY OPTIONS,40756,7291.88,34882,6228.35,27146,4825.86
NIFTY OPTIONS,5738266,1063121.80,5702916,1056880.02,1372871,255727.77
NIFTYNXT50 OPTIONS,43,7.42,1,0.17,45,7.66
,,,,,,
STOCK FUTURES,279883,19605.23,286408,19912.73,5623271,391165.10
,,,,,,
STOCK OPTIONS,312573,22494.58,312057,22340.09,184044,12465.64
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
