FII DERIVATIVES STATISTICS FOR 06-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,13043,2499.59,21125,4003.05,230190,43582.39
BANKNIFTY FUTURES,5956,1172.29,3656,719.42,30673,6046.36
FINNIFTY FUTURES,133,23.05,64,11.11,92,16.03
MIDCPNIFTY FUTURES,802,145.26,546,98.90,21753,3963.44
NIFTY FUTURES,6125,1154.35,16760,3156.61,176986,33438.32
NIFTYNXT50 FUTURES,27,4.64,99,17.01,686,118.25
,,,,,,
INDEX OPTIONS,9510734,1775898.01,9488918,1772076.58,2126105,401208.53
BANKNIFTY OPTIONS,151579,29755.38,148539,29152.66,197173,38718.24
FINNIFTY OPTIONS,11172,1948.86,11316,1979.66,7815,1356.91
MIDCPNIFTY OPTIONS,40003,7144.46,39291,7040.38,28225,5115.20
NIFTY OPTIONS,9307943,1737042.91,9289748,1733899.72,1892802,356002.76
NIFTYNXT50 OPTIONS,37,6.39,24,4.16,90,15.43
,,,,,,
STOCK FUTURES,284535,20460.71,293347,20827.45,5611943,394518.72
,,,,,,
STOCK OPTIONS,317387,23303.66,314122,23029.90,277595,19305.93
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
