FII DERIVATIVES STATISTICS FOR 05-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10513,1964.10,13351,2484.30,224845,41866.78
BANKNIFTY FUTURES,3676,698.52,2967,563.40,36453,6941.99
FINNIFTY FUTURES,40,6.75,39,6.57,557,94.15
MIDCPNIFTY FUTURES,1073,192.77,1708,306.50,25019,4490.55
NIFTY FUTURES,5707,1063.18,8597,1601.09,162208,30237.75
NIFTYNXT50 FUTURES,17,2.86,40,6.73,608,102.33
,,,,,,
INDEX OPTIONS,8313899,1542671.26,8282174,1536775.78,1974046,366901.08
BANKNIFTY OPTIONS,117716,22508.66,116835,22340.52,212509,40249.35
FINNIFTY OPTIONS,6877,1164.83,7245,1225.62,4264,717.55
MIDCPNIFTY OPTIONS,42778,7713.79,42239,7610.31,20687,3700.78
NIFTY OPTIONS,8146454,1511271.46,8115822,1505593.73,1736403,322202.54
NIFTYNXT50 OPTIONS,74,12.53,33,5.61,184,30.86
,,,,,,
STOCK FUTURES,232367,15772.44,234723,15869.09,5451620,378308.88
,,,,,,
STOCK OPTIONS,277029,19344.33,286702,19969.35,323462,22067.27
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
