FII DERIVATIVES STATISTICS FOR 24-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,60056,11853.21,51906,10286.73,227629,44821.42
BANKNIFTY FUTURES,10359,2147.98,8796,1823.10,45424,9350.40
FINNIFTY FUTURES,80,14.40,94,16.92,382,68.47
MIDCPNIFTY FUTURES,4504,874.25,4104,797.78,17699,3424.73
NIFTY FUTURES,44795,8762.12,38632,7600.85,163424,31858.42
NIFTYNXT50 FUTURES,318,54.46,280,48.09,700,119.41
,,,,,,
INDEX OPTIONS,10105867,1986246.46,10137702,1992155.38,2637113,516617.44
BANKNIFTY OPTIONS,1106318,228965.39,1096607,226923.12,387452,79566.75
FINNIFTY OPTIONS,121821,21932.98,123451,22223.09,13036,2330.04
MIDCPNIFTY OPTIONS,236664,45881.04,243923,47297.54,75619,14544.43
NIFTY OPTIONS,8639035,1689119.72,8671986,1695411.64,2159235,419875.16
NIFTYNXT50 OPTIONS,2029,347.32,1735,299.98,1771,301.06
,,,,,,
STOCK FUTURES,1852059,125253.61,1767418,119084.48,5948544,400271.33
,,,,,,
STOCK OPTIONS,535629,38687.19,589308,42419.96,385112,25952.33
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
