FII DERIVATIVES STATISTICS FOR 11-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,13820,2581.09,10877,2031.44,216291,40160.65
BANKNIFTY FUTURES,4415,856.59,3957,767.59,40989,7968.59
FINNIFTY FUTURES,40,6.85,29,4.97,730,125.32
MIDCPNIFTY FUTURES,748,132.07,1108,195.4,22065,3910.34
NIFTY FUTURES,8555,1575.32,5728,1054.37,151721,28025.82
NIFTYNXT50 FUTURES,62,10.25,55,9.11,786,130.58
,,,,,,
INDEX OPTIONS,4270557,785092.72,4300040,791247.72,1511485,280105.34
BANKNIFTY OPTIONS,99164,19376.16,97967,19155.87,166731,32393.69
FINNIFTY OPTIONS,10693,1848.32,10327,1779.96,9689,1663
MIDCPNIFTY OPTIONS,27174,4844.99,27428,4889.4,15279,2697.46
NIFTY OPTIONS,4133452,759010.86,4164295,765418.63,1319711,243338.77
NIFTYNXT50 OPTIONS,74,12.4,23,3.87,75,12.43
,,,,,,
STOCK FUTURES,274230,18093.81,238103,15684.99,5495099,371668.17
,,,,,,
STOCK OPTIONS,296194,20354.09,291546,20041.53,294986,20035.09
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
