FII DERIVATIVES STATISTICS FOR 14-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15061,2866.55,32363,6144.39,191032,36355.62
BANKNIFTY FUTURES,2862,570.7,4206,837.85,33235,6633.71
FINNIFTY FUTURES,51,8.91,88,15.37,668,116.85
MIDCPNIFTY FUTURES,784,144.38,875,160.86,19362,3581.34
NIFTY FUTURES,11309,2133.19,27145,5121.94,137166,25920.92
NIFTYNXT50 FUTURES,55,9.38,49,8.37,601,102.81
,,,,,,
INDEX OPTIONS,3553631,671908.15,3605255,681871.93,1499915,283843.37
BANKNIFTY OPTIONS,99982,20061.52,100140,20104.29,184384,36633.09
FINNIFTY OPTIONS,10588,1861.17,10844,1912.82,10907,1900.16
MIDCPNIFTY OPTIONS,33057,6116.32,33785,6241.22,29175,5378.88
NIFTY OPTIONS,3409895,643850.22,3460405,653599.5,1275293,239904.61
NIFTYNXT50 OPTIONS,109,18.92,81,14.11,156,26.63
,,,,,,
STOCK FUTURES,263635,18524.39,263640,18786.76,5552461,387592.59
,,,,,,
STOCK OPTIONS,275000,20010.36,271950,19742.58,770735,53609.22
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
