FII DERIVATIVES STATISTICS FOR 17-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,36706,7160.48,16288,3169.47,213362,41300.19
BANKNIFTY FUTURES,9922,2004.71,4599,928.78,29007,5867.11
FINNIFTY FUTURES,187,33.39,147,26.25,286,51.23
MIDCPNIFTY FUTURES,2224,412.53,1847,342.51,21184,3911.83
NIFTY FUTURES,24318,4700.31,9655,1864.99,162349,31377.04
NIFTYNXT50 FUTURES,55,9.54,40,6.95,536,92.98
,,,,,,
INDEX OPTIONS,12352128,2377933.88,12368961,2380917.29,2371111,459246.31
BANKNIFTY OPTIONS,347421,70262.25,349303,70671.72,297424,60078.76
FINNIFTY OPTIONS,27101,4860.03,26952,4827.86,16516,2956.38
MIDCPNIFTY OPTIONS,110321,20480.14,105360,19558.38,52646,9700.09
NIFTY OPTIONS,11866980,2282278.43,11887017,2285802.09,2004055,386429.59
NIFTYNXT50 OPTIONS,305,53.02,329,57.25,470,81.49
,,,,,,
STOCK FUTURES,397817,28371.02,406403,28622.39,5669736,400725.10
,,,,,,
STOCK OPTIONS,597969,44439.14,594357,43964.40,454015,32481.90
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
