FII DERIVATIVES STATISTICS FOR 25-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,40484,7987.47,52412,10303.01,135529,26573.83
BANKNIFTY FUTURES,9985,2064.18,10759,2226.27,26920,5534.81
FINNIFTY FUTURES,328,58.81,262,47.07,377,67.51
MIDCPNIFTY FUTURES,3666,709.92,4848,941.70,16633,3236.78
NIFTY FUTURES,26061,5078.78,36048,7003.21,90939,17621.57
NIFTYNXT50 FUTURES,444,75.77,495,84.76,660,113.16
,,,,,,
INDEX OPTIONS,22224712,4377121.63,22218412,4376074.69,1358808,264788.11
BANKNIFTY OPTIONS,4242668,875994.12,4247417,876992.12,156251,31948.98
FINNIFTY OPTIONS,504522,90335.10,503197,90097.15,493,87.79
MIDCPNIFTY OPTIONS,396574,76688.36,395175,76417.33,9025,1744.39
NIFTY OPTIONS,17078376,3333665.48,17069839,3332092.82,1193005,231001.15
NIFTYNXT50 OPTIONS,2572,438.56,2784,475.27,34,5.79
,,,,,,
STOCK FUTURES,506283,34499.55,503544,34367.20,5740519,385988.70
,,,,,,
STOCK OPTIONS,190755,13449.24,198624,13896.11,96441,6270.81
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
