FII DERIVATIVES STATISTICS FOR 28-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8100,1622.94,8433,1674.05,139936,27767.48
BANKNIFTY FUTURES,2789,578.01,1785,370.82,28316,5872.70
FINNIFTY FUTURES,13,2.37,36,6.57,327,59.63
MIDCPNIFTY FUTURES,209,41.05,232,45.45,16050,3173.83
NIFTY FUTURES,5071,998.39,6360,1247.74,94614,18551.97
NIFTYNXT50 FUTURES,18,3.13,20,3.48,629,109.35
,,,,,,
INDEX OPTIONS,5731753,1123394.62,5704176,1118290.51,2104425,414797.40
BANKNIFTY OPTIONS,69623,14561.66,67184,14039.81,193020,40002.43
FINNIFTY OPTIONS,4940,908.28,4863,896.06,4469,810.06
MIDCPNIFTY OPTIONS,14280,2841.65,14608,2906.77,14630,2875.84
NIFTY OPTIONS,5642770,1105058.39,5617406,1100427.64,1892062,371066.89
NIFTYNXT50 OPTIONS,140,24.63,115,20.23,244,42.17
,,,,,,
STOCK FUTURES,187918,13128.95,190277,13477.46,5779030,394475.12
,,,,,,
STOCK OPTIONS,182949,13464.28,187793,13792.79,240015,16336.07
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
