FII DERIVATIVES STATISTICS FOR 12-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12666,2478.45,15076,2953.99,213374,41949.11
BANKNIFTY FUTURES,1583,321.56,1874,383.31,38469,7869.56
FINNIFTY FUTURES,40,7.15,63,11.26,387,69.08
MIDCPNIFTY FUTURES,1457,283.49,5940,1158.69,20558,4012.44
NIFTY FUTURES,9547,1859.42,7095,1382.50,153355,29892.15
NIFTYNXT50 FUTURES,39,6.83,104,18.23,605,105.89
,,,,,,
INDEX OPTIONS,4048886,784666.40,4081638,791244.92,1670623,325672.00
BANKNIFTY OPTIONS,144293,29595.52,146337,30011.52,198674,40453.85
FINNIFTY OPTIONS,9055,1628.04,8687,1559.99,5972,1061.15
MIDCPNIFTY OPTIONS,51129,9921.72,49888,9656.88,44532,8638.04
NIFTY OPTIONS,3844229,743488.77,3876591,749992.56,1421008,275442.69
NIFTYNXT50 OPTIONS,180,32.36,135,23.97,437,76.27
,,,,,,
STOCK FUTURES,357692,24907.20,304757,21071.91,5989683,406288.22
,,,,,,
STOCK OPTIONS,525867,37623.93,537093,38538.90,486325,33219.17
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
