FII DERIVATIVES STATISTICS FOR 10-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,16472,3166.83,12001,2307.63,213509,40794.22
BANKNIFTY FUTURES,3977,791.98,3116,620.27,26394,5255.42
FINNIFTY FUTURES,70,12.28,77,13.51,200,35.06
MIDCPNIFTY FUTURES,949,175.51,605,111.92,21322,3945.28
NIFTY FUTURES,11404,2174.64,8079,1540.53,165111,31475.36
NIFTYNXT50 FUTURES,72,12.42,124,21.40,482,83.10
,,,,,,
INDEX OPTIONS,7156466,1348479.40,7103406,1338502.35,2053058,390925.99
BANKNIFTY OPTIONS,169207,33576.24,167542,33255.55,234399,46442.53
FINNIFTY OPTIONS,12965,2284.53,12677,2237.54,13290,2318.77
MIDCPNIFTY OPTIONS,44333,8149.80,45065,8277.47,36339,6689.78
NIFTY OPTIONS,6929869,1304452.88,6878012,1294712.66,1768804,335436.27
NIFTYNXT50 OPTIONS,92,15.94,110,19.12,225,38.64
,,,,,,
STOCK FUTURES,305412,21448.03,280674,19660.12,5591941,395405.07
,,,,,,
STOCK OPTIONS,362768,25624.02,358058,25331.59,373100,26240.90
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
