FII DERIVATIVES STATISTICS FOR 11-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11226,2186.33,14349,2798.33,214132,41828.31
BANKNIFTY FUTURES,2875,582.10,3436,697.71,39014,7962.51
FINNIFTY FUTURES,71,12.58,80,14.18,374,66.57
MIDCPNIFTY FUTURES,1094,208.56,504,96.12,17835,3430.78
NIFTY FUTURES,7140,1375.11,10255,1977.44,156343,30269.47
NIFTYNXT50 FUTURES,46,7.98,74,12.89,566,98.97
,,,,,,
INDEX OPTIONS,17909182,3443498.88,17858449,3434482.41,1475491,285864.19
BANKNIFTY OPTIONS,140521,28652.69,143138,29168.41,191875,38985.41
FINNIFTY OPTIONS,9127,1629.14,9004,1608.16,6440,1141.88
MIDCPNIFTY OPTIONS,42200,8059.33,42061,8032.39,42473,8135.12
NIFTY OPTIONS,17717166,3405128.09,17664071,3395642.49,1234331,237536.94
NIFTYNXT50 OPTIONS,168,29.63,175,30.96,372,64.84
,,,,,,
STOCK FUTURES,317340,22009.40,321208,21988.26,5988672,403511.97
,,,,,,
STOCK OPTIONS,414717,29488.49,412342,29282.38,481183,32689.72
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
