FII DERIVATIVES STATISTICS FOR 30-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8096,1588.59,20230,3978.93,167268,32905.61
BANKNIFTY FUTURES,1422,291.16,3493,714.86,38632,7899.65
FINNIFTY FUTURES,26,4.66,47,8.43,393,70.38
MIDCPNIFTY FUTURES,819,154.66,758,143.01,15718,2974.75
NIFTY FUTURES,5786,1130.56,15881,3103.67,111998,21868.24
NIFTYNXT50 FUTURES,43,7.55,51,8.96,527,92.58
,,,,,,
INDEX OPTIONS,5336235,1043181.75,5289237,1033248.47,1906576,371155.96
BANKNIFTY OPTIONS,72534,14920.89,73201,15042.75,159026,32294.25
FINNIFTY OPTIONS,3722,674.38,3901,705.70,4390,781.17
MIDCPNIFTY OPTIONS,19636,3731.11,19737,3748.11,24065,4537.39
NIFTY OPTIONS,5240244,1023837.76,5192322,1013738.38,1718985,333524.06
NIFTYNXT50 OPTIONS,99,17.62,76,13.53,109,19.10
,,,,,,
STOCK FUTURES,260155,18191.28,320244,21770.46,5892355,400450.85
,,,,,,
STOCK OPTIONS,298038,21568.65,301829,21825.58,255490,17388.75
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
