FII DERIVATIVES STATISTICS FOR 12-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10389,1946.36,15920,2971.44,220298,40767.41
BANKNIFTY FUTURES,3116,605.29,4226,820.18,41381,8008.24
FINNIFTY FUTURES,83,14.21,115,19.69,718,122.51
MIDCPNIFTY FUTURES,469,83.11,1188,210.29,21768,3840.55
NIFTY FUTURES,6711,1242.08,10376,1918.78,155650,28666.6
NIFTYNXT50 FUTURES,10,1.66,15,2.49,781,129.51
,,,,,,
INDEX OPTIONS,6256195,1156114.6,6254049,1155294.24,1573028,290117.14
BANKNIFTY OPTIONS,108775,21278.36,109815,21477.47,166928,32159.17
FINNIFTY OPTIONS,12318,2127.58,12571,2171.09,10202,1733.11
MIDCPNIFTY OPTIONS,26379,4714.91,26282,4695.1,17714,3115.23
NIFTY OPTIONS,6108698,1127989.58,6105371,1126948.91,1378108,253097.05
NIFTYNXT50 OPTIONS,25,4.17,10,1.68,76,12.58
,,,,,,
STOCK FUTURES,225855,15336.96,219258,14884.47,5527474,372841.54
,,,,,,
STOCK OPTIONS,304935,21406.77,306188,21534.4,315325,21317.03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
