FII DERIVATIVES STATISTICS FOR 01-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11143,2100.74,31667,5921.43,191026,35444.4
BANKNIFTY FUTURES,3805,745.97,5927,1161.66,30157,5889.59
FINNIFTY FUTURES,95,16.46,134,23.23,681,117.61
MIDCPNIFTY FUTURES,707,126.53,1486,265.33,19455,3455.78
NIFTY FUTURES,6450,1197.42,23978,4447.5,140016,25862.66
NIFTYNXT50 FUTURES,86,14.36,142,23.71,717,118.76
,,,,,,
INDEX OPTIONS,4717676,877466.61,4740495,881060.3,1267929,234520.1
BANKNIFTY OPTIONS,100830,19926.04,98718,19448.22,100001,19466.35
FINNIFTY OPTIONS,9418,1642.93,9759,1698.82,4443,765.09
MIDCPNIFTY OPTIONS,27027,4913.24,26504,4821.14,10440,1851.59
NIFTY OPTIONS,4580399,850984.06,4605509,855091.28,1153037,212435.74
NIFTYNXT50 OPTIONS,2,0.34,5,0.85,8,1.32
,,,,,,
STOCK FUTURES,267321,18534.19,299856,20370.22,5375520,363644.12
,,,,,,
STOCK OPTIONS,248705,17980.01,249971,17937.86,140555,9523.65
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
