FII DERIVATIVES STATISTICS FOR 18-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,25556,4847.28,14001,2655.89,212730,40012.09
BANKNIFTY FUTURES,7875,1547.41,4418,866.41,42236,8261.22
FINNIFTY FUTURES,112,19.48,85,14.78,718,124.54
MIDCPNIFTY FUTURES,1943,350.65,1109,200.23,21471,3869.54
NIFTY FUTURES,15496,2907.74,8366,1570.58,147455,27613.44
NIFTYNXT50 FUTURES,130,21.99,23,3.88,850,143.35
,,,,,,
INDEX OPTIONS,3940829,740634.07,3938887,740316.65,1475082,276402.8
BANKNIFTY OPTIONS,196521,38591.67,194709,38236.58,179445,35004.78
FINNIFTY OPTIONS,20346,3542.43,19934,3480.61,13155,2275.28
MIDCPNIFTY OPTIONS,47172,8473.19,46107,8274.04,21696,3891.36
NIFTY OPTIONS,3676682,690008.4,3678011,690303.72,1260657,235209.82
NIFTYNXT50 OPTIONS,108,18.38,126,21.7,128,21.57
,,,,,,
STOCK FUTURES,383466,26628.34,331079,22551.29,5630523,388380.67
,,,,,,
STOCK OPTIONS,392821,28377.29,393798,28422.31,384969,26246.89
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
