FII DERIVATIVES STATISTICS FOR 16-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,22808,4331.81,11213,2126.12,212421,40349.34
BANKNIFTY FUTURES,2415,467.56,1142,220.94,32962,6390.30
FINNIFTY FUTURES,20,3.45,27,4.66,556,96.11
MIDCPNIFTY FUTURES,331,60.98,768,141.54,24241,4477.31
NIFTY FUTURES,19973,3787.92,9259,1756.03,154071,29283.37
NIFTYNXT50 FUTURES,69,11.90,17,2.94,591,102.25
,,,,,,
INDEX OPTIONS,12000919,2262881.55,11770405,2220362.01,1326940,251754.83
BANKNIFTY OPTIONS,127682,24653.98,127457,24548.62,223894,43215.20
FINNIFTY OPTIONS,7282,1251.99,7598,1305.44,6386,1099.79
MIDCPNIFTY OPTIONS,29974,5509.67,31332,5762.66,27863,5128.23
NIFTY OPTIONS,11835939,2231458.74,11603963,2188735.82,1068525,202264.51
NIFTYNXT50 OPTIONS,42,7.17,55,9.47,273,47.09
,,,,,,
STOCK FUTURES,223499,15675.43,213513,14877.63,5516264,391797.01
,,,,,,
STOCK OPTIONS,367007,26237.48,368204,26352.95,402639,28303.56
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
