FII DERIVATIVES STATISTICS FOR 13-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,9267,1771.28,13637,2607.21,217495,41437.87
BANKNIFTY FUTURES,2011,400.10,3111,618.61,27202,5415.69
FINNIFTY FUTURES,54,9.45,57,9.97,201,35.27
MIDCPNIFTY FUTURES,703,129.60,1373,253.31,21722,4026.06
NIFTY FUTURES,6429,1220.13,9038,1715.37,167900,31879.99
NIFTYNXT50 FUTURES,70,12.00,58,9.95,470,80.86
,,,,,,
INDEX OPTIONS,9391263,1774215.47,9400828,1775754.30,2054281,390440.94
BANKNIFTY OPTIONS,169702,33729.02,171014,33937.96,236075,46787.20
FINNIFTY OPTIONS,11052,1933.48,11133,1946.42,12725,2223.75
MIDCPNIFTY OPTIONS,40726,7521.97,40049,7401.60,37342,6893.98
NIFTY OPTIONS,9169665,1731010.61,9178493,1732444.32,1767861,334488.36
NIFTYNXT50 OPTIONS,118,20.39,139,24.00,278,47.66
,,,,,,
STOCK FUTURES,207183,14571.10,245785,17072.79,5591335,394650.10
,,,,,,
STOCK OPTIONS,322770,23655.65,320040,23473.81,377654,26662.77
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
