FII DERIVATIVES STATISTICS FOR 30-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,40296,7496.06,54821,10212.66,200026,37197.67
BANKNIFTY FUTURES,9948,1907.65,10368,1994.66,31319,6032.27
FINNIFTY FUTURES,98,16.63,267,45.45,132,22.49
MIDCPNIFTY FUTURES,3263,575.26,3975,702.54,21599,3829.92
NIFTY FUTURES,26865,4975.76,40128,7455.87,146498,27231.41
NIFTYNXT50 FUTURES,122,20.75,83,14.14,478,81.58
,,,,,,
INDEX OPTIONS,25831137,4800416.40,25744858,4784504.63,1159621,214954.18
BANKNIFTY OPTIONS,4304034,823663.98,4342370,831010.82,150372,28754.88
FINNIFTY OPTIONS,558100,94614.29,568322,96320.36,424,71.72
MIDCPNIFTY OPTIONS,724680,127851.29,718090,126749.65,10324,1821.05
NIFTY OPTIONS,20240028,3753557.49,20110616,3729498.88,998496,184305.70
NIFTYNXT50 OPTIONS,4295,729.34,5460,924.91,5,0.85
,,,,,,
STOCK FUTURES,533266,36946.55,525109,36292.07,5593392,386281.05
,,,,,,
STOCK OPTIONS,207072,14870.16,213672,15257.74,125572,8262.31
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
