FII DERIVATIVES STATISTICS FOR 24-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,52666,10270.36,45702,8934.00,211701,41179.55
BANKNIFTY FUTURES,15078,3056.89,14725,2984.59,39828,8062.09
FINNIFTY FUTURES,79,14.11,113,20.19,359,63.95
MIDCPNIFTY FUTURES,8766,1622.31,8421,1561.27,19876,3670.97
NIFTY FUTURES,28652,5561.28,22357,4353.00,151149,29297.76
NIFTYNXT50 FUTURES,91,15.77,86,14.94,489,84.77
,,,,,,
INDEX OPTIONS,11055719,2149481.01,11066885,2151337.02,2628256,511110.16
BANKNIFTY OPTIONS,889765,180701.65,884129,179514.10,415455,83900.53
FINNIFTY OPTIONS,64140,11478.68,64621,11563.27,17360,3091.29
MIDCPNIFTY OPTIONS,263169,48715.09,268133,49629.64,65769,12121.75
NIFTY OPTIONS,9837926,1908461.90,9849537,1910549.34,2128799,411845.24
NIFTYNXT50 OPTIONS,719,123.69,465,80.67,873,151.37
,,,,,,
STOCK FUTURES,2264310,161568.59,2281902,162271.65,5797453,412229.87
,,,,,,
STOCK OPTIONS,518481,40035.03,515579,39694.96,444805,31889.08
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
