FII DERIVATIVES STATISTICS FOR 24-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,20069,3823.02,20050,3821.37,206886,39260.42
BANKNIFTY FUTURES,3935,786.88,4162,831.74,32318,6464.26
FINNIFTY FUTURES,52,9.17,55,9.7,613,107.9
MIDCPNIFTY FUTURES,1024,188.79,1999,368.66,19135,3520.38
NIFTY FUTURES,14992,2826.93,13787,2603.24,154241,29069.08
NIFTYNXT50 FUTURES,66,11.25,47,8.02,579,98.81
,,,,,,
INDEX OPTIONS,12463422,2352625.23,12476554,2354481.58,1367448,259689.93
BANKNIFTY OPTIONS,222077,44332.69,223750,44649.5,260970,52123.9
FINNIFTY OPTIONS,21456,3795.04,22373,3949.84,15778,2773.79
MIDCPNIFTY OPTIONS,86397,15975.71,87078,16112.4,48878,8969.46
NIFTY OPTIONS,12133406,2288506.99,12143230,2289748.5,1041592,195783.56
NIFTYNXT50 OPTIONS,86,14.81,123,21.34,230,39.22
,,,,,,
STOCK FUTURES,299232,20500.2,317214,21447.97,5500400,383729.74
,,,,,,
STOCK OPTIONS,445152,32299.03,444042,32173,853723,59256.91
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
