FII DERIVATIVES STATISTICS FOR 21-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,51502,10201.54,55784,11023.68,220989,43603.34
BANKNIFTY FUTURES,11523,2384.30,13185,2725.45,45729,9404.72
FINNIFTY FUTURES,175,31.54,163,29.43,378,67.88
MIDCPNIFTY FUTURES,9381,1826.63,10552,2061.28,17377,3383.94
NIFTY FUTURES,30334,5943.73,31681,6172.42,156791,30624.00
NIFTYNXT50 FUTURES,89,15.34,203,35.10,714,122.80
,,,,,,
INDEX OPTIONS,8036973,1577903.64,7954949,1561170.87,2261019,444615.88
BANKNIFTY OPTIONS,623490,128943.25,631072,130431.70,336554,69130.81
FINNIFTY OPTIONS,53283,9597.70,54048,9730.69,9118,1633.74
MIDCPNIFTY OPTIONS,144735,28250.82,143029,27902.93,65150,12633.76
NIFTY OPTIONS,7214743,1410986.40,7126081,1392980.14,1848922,360998.69
NIFTYNXT50 OPTIONS,722,125.47,719,125.40,1275,218.88
,,,,,,
STOCK FUTURES,2272730,154811.69,2289547,155371.92,5942857,401031.81
,,,,,,
STOCK OPTIONS,753334,55018.52,744863,54394.78,482627,33042.81
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
