FII DERIVATIVES STATISTICS FOR 14-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,7689,1444,7811,1461.85,219305,40787.13
BANKNIFTY FUTURES,2575,500.69,2478,481.52,41829,8126.77
FINNIFTY FUTURES,39,6.69,71,12.19,693,118.94
MIDCPNIFTY FUTURES,470,83.4,839,148.83,22471,3985.19
NIFTY FUTURES,4600,852.39,4397,814.98,153521,28424.56
NIFTYNXT50 FUTURES,5,0.83,26,4.33,791,131.66
,,,,,,
INDEX OPTIONS,10594087,1959581.1,10603554,1960793.26,1126449,209398.37
BANKNIFTY OPTIONS,118730,23188.97,119354,23310.18,178347,34545.19
FINNIFTY OPTIONS,11238,1949.18,10846,1866.52,11923,2040.83
MIDCPNIFTY OPTIONS,26330,4712.06,25841,4629.61,16871,2985.28
NIFTY OPTIONS,10437752,1929724.68,10447457,1930977.53,919254,169818.1
NIFTYNXT50 OPTIONS,37,6.21,56,9.42,54,8.98
,,,,,,
STOCK FUTURES,232094,16006.15,254115,17386.11,5601824,380416.27
,,,,,,
STOCK OPTIONS,305791,21759.51,295179,21146.46,369232,24935.17
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
