FII DERIVATIVES STATISTICS FOR 04-Dec-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,6379,1261.94,15440,3059.82,163382,31959.24
BANKNIFTY FUTURES,1892,390.54,5011,1040.58,23121,4742.19
FINNIFTY FUTURES,17,3.07,6,1.08,244,44.07
MIDCPNIFTY FUTURES,372,72.30,624,121.25,15599,3040.05
NIFTY FUTURES,4048,787.43,9773,1892.41,123756,24018.93
NIFTYNXT50 FUTURES,50,8.60,26,4.50,662,114.00
,,,,,,
INDEX OPTIONS,4819526,939269.33,4846000,944878.63,2068063,404667.88
BANKNIFTY OPTIONS,96835,20222.12,95721,19989.59,224078,46027.00
FINNIFTY OPTIONS,3236,587.42,3228,587.24,6072,1089.40
MIDCPNIFTY OPTIONS,27229,5377.98,28519,5643.15,31922,6198.00
NIFTY OPTIONS,4692092,913058.55,4718410,918637.47,1805549,351277.72
NIFTYNXT50 OPTIONS,134,23.26,122,21.19,442,75.76
,,,,,,
STOCK FUTURES,240830,16492.31,207665,14599.69,5784574,391470.63
,,,,,,
STOCK OPTIONS,252350,18097.90,256143,18468.37,355689,24049.22
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
