FII DERIVATIVES STATISTICS FOR 07-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,16187,3018.35,22355,4149.27,209213,38948.44
BANKNIFTY FUTURES,4608,896.05,4532,879.32,37843,7385.64
FINNIFTY FUTURES,39,6.69,42,7.2,716,123.37
MIDCPNIFTY FUTURES,1386,246.12,1568,277.89,21227,3800.74
NIFTY FUTURES,10130,1865.52,16166,2977.12,148661,27511.34
NIFTYNXT50 FUTURES,24,3.97,47,7.74,766,127.34
,,,,,,
INDEX OPTIONS,16174221,2974385.77,16151376,2970511.6,1107536,205610.13
BANKNIFTY OPTIONS,124497,24400.95,122768,24077.35,151704,29479.82
FINNIFTY OPTIONS,12425,2153.07,12911,2238.91,8355,1433.93
MIDCPNIFTY OPTIONS,34571,6214.53,34550,6195.02,13399,2386.98
NIFTY OPTIONS,16002662,2941606.06,15981084,2937989.72,934024,172300.46
NIFTYNXT50 OPTIONS,66,11.16,63,10.61,54,8.96
,,,,,,
STOCK FUTURES,315413,21561.1,302201,20320.65,5431137,369398.06
,,,,,,
STOCK OPTIONS,274911,19173.6,274969,19206.58,252288,17110.97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
