FII DERIVATIVES STATISTICS FOR 23-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,55090,10840.39,31572,6188.17,217215,42451.97
BANKNIFTY FUTURES,10912,2234.71,4904,1003.89,37931,7719.59
FINNIFTY FUTURES,99,17.81,81,14.59,355,63.66
MIDCPNIFTY FUTURES,5034,939.56,4634,865.91,21065,3902.86
NIFTY FUTURES,38920,7626.55,21883,4291.56,157370,30680.12
NIFTYNXT50 FUTURES,125,21.76,70,12.22,494,85.74
,,,,,,
INDEX OPTIONS,7725419,1501991.41,7683006,1493540.44,2238644,436974.81
BANKNIFTY OPTIONS,522654,106467.31,532404,108431.61,340233,69160.21
FINNIFTY OPTIONS,34814,6245.98,33641,6045.78,16949,3035.87
MIDCPNIFTY OPTIONS,143712,26714.32,145044,26960.94,60391,11164.10
NIFTY OPTIONS,7024095,1362538.61,6971778,1352077.82,1820542,353522.79
NIFTYNXT50 OPTIONS,144,25.19,139,24.28,529,91.83
,,,,,,
STOCK FUTURES,2097891,149720.83,1972245,141581.21,5794855,413879.29
,,,,,,
STOCK OPTIONS,769551,56388.55,746187,54747.68,474175,34356.67
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
