FII DERIVATIVES STATISTICS FOR 19-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,13568,2682.37,12350,2445.22,221877,43872.51
BANKNIFTY FUTURES,3889,795.90,3722,768.10,44313,9161.87
FINNIFTY FUTURES,41,7.36,50,8.98,380,68.33
MIDCPNIFTY FUTURES,561,110.04,1503,294.74,18649,3662.33
NIFTY FUTURES,9002,1756.02,6960,1353.37,157891,30867.81
NIFTYNXT50 FUTURES,75,13.05,115,20.03,644,112.16
,,,,,,
INDEX OPTIONS,4945125,963465.91,4982768,970913.12,1911900,376293.01
BANKNIFTY OPTIONS,386248,79631.42,389658,80342.68,304895,63040.19
FINNIFTY OPTIONS,36345,6499.93,36083,6462.48,18269,3282.62
MIDCPNIFTY OPTIONS,79551,15520.36,78120,15264.04,63748,12495.09
NIFTY OPTIONS,4442496,861729.27,4478386,868752.24,1524155,297330.09
NIFTYNXT50 OPTIONS,485,84.93,521,91.68,833,145.02
,,,,,,
STOCK FUTURES,312791,21556.71,299921,20374.61,6019400,406312.05
,,,,,,
STOCK OPTIONS,679438,48228.03,674963,48035.89,548430,37861.31
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
