FII DERIVATIVES STATISTICS FOR 12-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,14804,2801.13,4353,823.32,225671,42645.80
BANKNIFTY FUTURES,1568,301.88,1213,233.39,34735,6693.76
FINNIFTY FUTURES,20,3.43,31,5.32,560,96.30
MIDCPNIFTY FUTURES,277,50.88,424,77.87,24272,4455.80
NIFTY FUTURES,12917,2441.19,2639,498.87,165484,31293.92
NIFTYNXT50 FUTURES,22,3.76,46,7.86,620,106.02
,,,,,,
INDEX OPTIONS,4375303,822723.99,4328395,814150.36,1995535,376384.31
BANKNIFTY OPTIONS,93383,17934.58,95617,18374.39,214550,41157.67
FINNIFTY OPTIONS,9619,1649.17,9580,1641.79,5877,1007.09
MIDCPNIFTY OPTIONS,31458,5785.30,30410,5588.52,24432,4475.03
NIFTY OPTIONS,4240721,797334.19,4192696,788530.07,1750452,329706.32
NIFTYNXT50 OPTIONS,122,20.75,92,15.59,224,38.19
,,,,,,
STOCK FUTURES,228648,16156.78,218893,15097.47,5483342,386917.54
,,,,,,
STOCK OPTIONS,346284,25130.57,347912,25248.70,384336,26836.72
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
