FII DERIVATIVES STATISTICS FOR 29-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15914,2957.02,22595,4196.04,211569,38927.98
BANKNIFTY FUTURES,4853,923.03,5043,959.08,36110,6834.99
FINNIFTY FUTURES,46,7.73,159,26.72,754,126.29
MIDCPNIFTY FUTURES,957,169.11,564,99.48,24068,4217.19
NIFTY FUTURES,9975,1843.37,16749,3097.51,150033,27649.75
NIFTYNXT50 FUTURES,83,13.78,80,13.25,604,99.75
,,,,,,
INDEX OPTIONS,6226175,1148220.25,6266281,1155779.8,1679704,308444.58
BANKNIFTY OPTIONS,92655,17774.73,84819,16240.06,187204,35155.88
FINNIFTY OPTIONS,3332,565.23,3609,612.23,1549,257.43
MIDCPNIFTY OPTIONS,27608,4901.84,28335,5035.53,12557,2188.72
NIFTY OPTIONS,6102500,1124964.96,6149501,1133889.12,1478324,270831.05
NIFTYNXT50 OPTIONS,80,13.49,17,2.86,70,11.51
,,,,,,
STOCK FUTURES,277784,18840.48,252730,17227.96,5505448,374670.97
,,,,,,
STOCK OPTIONS,229154,16194.09,225672,15955.04,188102,12526.76
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
