FII DERIVATIVES STATISTICS FOR 21-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,21853,4141.88,16711,3171.73,212500,40174.69
BANKNIFTY FUTURES,3078,603.61,2494,488.99,42131,8244.42
FINNIFTY FUTURES,35,6.06,36,6.24,735,127.24
MIDCPNIFTY FUTURES,525,95.72,543,98.81,22173,4020.56
NIFTY FUTURES,18210,3435.63,13619,2574.46,146685,27650.61
NIFTYNXT50 FUTURES,5,0.85,19,3.24,776,131.86
,,,,,,
INDEX OPTIONS,10685870,2012970.02,10673981,2010886.39,1196309,226046.66
BANKNIFTY OPTIONS,208754,40944.84,213254,41809.98,194723,37999.07
FINNIFTY OPTIONS,20256,3508.85,20112,3485.28,11819,2041.46
MIDCPNIFTY OPTIONS,82055,14951.6,84344,15373.16,26630,4817.34
NIFTY OPTIONS,10374646,1953537.88,10356147,1950196.8,962901,181148.7
NIFTYNXT50 OPTIONS,159,26.85,124,21.17,236,40.1
,,,,,,
STOCK FUTURES,306992,21345.67,323058,22330.05,5671202,394763.26
,,,,,,
STOCK OPTIONS,402267,28525.57,398562,28205.92,434091,29897.65
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
