FII DERIVATIVES STATISTICS FOR 10-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,6448,1248.55,11064,2168.37,211865,41200.73
BANKNIFTY FUTURES,1106,224.59,3638,742.00,38725,7890.22
FINNIFTY FUTURES,33,5.89,36,6.43,387,69.04
MIDCPNIFTY FUTURES,1377,261.43,791,150.07,17305,3292.21
NIFTY FUTURES,3906,752.09,6538,1259.21,154852,29845.15
NIFTYNXT50 FUTURES,26,4.54,61,10.66,596,104.11
,,,,,,
INDEX OPTIONS,8081952,1550319.12,8128694,1559413.09,2317736,446006.50
BANKNIFTY OPTIONS,95792,19568.90,96668,19740.17,185928,37653.03
FINNIFTY OPTIONS,5368,959.81,5200,931.37,7729,1371.74
MIDCPNIFTY OPTIONS,31331,5958.00,32417,6167.88,42612,8069.96
NIFTY OPTIONS,7949289,1523801.95,7994246,1532544.81,2081124,398852.06
NIFTYNXT50 OPTIONS,172,30.47,163,28.86,343,59.71
,,,,,,
STOCK FUTURES,274148,18964.55,275233,18766.07,5997322,403048.10
,,,,,,
STOCK OPTIONS,362402,25499.04,370002,25870.00,464916,31527.37
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
