FII DERIVATIVES STATISTICS FOR 14-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,19519,3715.92,28190,5367.44,226890,43012.11
BANKNIFTY FUTURES,3147,624.58,4244,842.54,26675,5297.69
FINNIFTY FUTURES,66,11.55,181,31.67,322,56.35
MIDCPNIFTY FUTURES,782,143.70,1257,230.73,21945,4016.80
NIFTY FUTURES,15467,2926.34,22427,4248.61,177458,33557.49
NIFTYNXT50 FUTURES,57,9.74,81,13.88,490,83.78
,,,,,,
INDEX OPTIONS,23842133,4513116.61,23720694,4490032.53,1340488,254611.47
BANKNIFTY OPTIONS,172112,34146.89,169947,33744.50,244068,48261.50
FINNIFTY OPTIONS,10766,1895.20,11545,2036.56,13310,2321.05
MIDCPNIFTY OPTIONS,49826,9200.56,49815,9204.40,37571,6856.38
NIFTY OPTIONS,23609203,4467835.03,23489139,4445004.42,1045153,197106.71
NIFTYNXT50 OPTIONS,226,38.93,248,42.66,386,65.82
,,,,,,
STOCK FUTURES,251806,17282.69,316720,21170.24,5599879,391631.56
,,,,,,
STOCK OPTIONS,381192,27718.30,378505,27631.51,387233,27107.82
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
