FII DERIVATIVES STATISTICS FOR 05-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8046,1500.97,19870,3750.13,202954,37818.79
BANKNIFTY FUTURES,1642,319.88,8132,1583.14,38999,7581.44
FINNIFTY FUTURES,31,5.33,68,11.71,667,114.7
MIDCPNIFTY FUTURES,744,133.36,972,174.22,19976,3577.51
NIFTY FUTURES,5597,1037.08,10644,1972.02,142563,26419.74
NIFTYNXT50 FUTURES,32,5.33,54,9.03,749,125.41
,,,,,,
INDEX OPTIONS,3716381,688990,3681191,682161.71,1425934,264668.1
BANKNIFTY OPTIONS,100832,19853.21,93381,18387.69,137223,26588.45
FINNIFTY OPTIONS,7551,1312.32,7788,1353.36,6229,1067.82
MIDCPNIFTY OPTIONS,24384,4429.53,24420,4440.37,13239,2365.21
NIFTY OPTIONS,3583593,663391.39,3555578,657976.24,1269221,234642.95
NIFTYNXT50 OPTIONS,21,3.54,24,4.05,22,3.67
,,,,,,
STOCK FUTURES,245564,16981.48,287442,20255.1,5374679,366243.96
,,,,,,
STOCK OPTIONS,247823,18034.02,243229,17731.35,216427,14843.21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
