FII DERIVATIVES STATISTICS FOR 30-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,44335,8372.18,46664,8817.58,240689,45269.23
BANKNIFTY FUTURES,11282,2223.37,11439,2256.22,39331,7750.41
FINNIFTY FUTURES,366,63.74,375,65.13,633,110.22
MIDCPNIFTY FUTURES,3926,716.37,4164,760.04,21768,3976.5
NIFTY FUTURES,28692,5357.06,30608,5722.98,178226,33308.59
NIFTYNXT50 FUTURES,69,11.64,78,13.2,731,123.52
,,,,,,
INDEX OPTIONS,6359778,1192162.12,6437626,1206939.32,1949984,366221.25
BANKNIFTY OPTIONS,623422,123302.33,635422,125618.93,317275,62353.33
FINNIFTY OPTIONS,111166,19356.6,111902,19489.55,18997,3297.36
MIDCPNIFTY OPTIONS,259867,47504.26,261445,47796.65,55047,10025.99
NIFTY OPTIONS,5364635,1001882.71,5428157,1013915.38,1558067,290443.75
NIFTYNXT50 OPTIONS,688,116.23,700,118.8,598,100.82
,,,,,,
STOCK FUTURES,1370199,94052.5,1372670,94249.76,5599109,385779.3
,,,,,,
STOCK OPTIONS,284216,20174.11,297962,21122.69,761569,51900.78
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
