FII DERIVATIVES STATISTICS FOR 20-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,11046,2085.2,12707,2408.51,215958,40788.88
BANKNIFTY FUTURES,1546,302.43,3020,590.69,42249,8256.17
FINNIFTY FUTURES,37,6.39,39,6.73,732,126.33
MIDCPNIFTY FUTURES,627,114.38,743,135.37,21979,4008.07
NIFTY FUTURES,8810,1657.59,8891,1673.34,150198,28261.9
NIFTYNXT50 FUTURES,26,4.42,14,2.38,800,136.41
,,,,,,
INDEX OPTIONS,5176056,972726.44,5252486,987291.72,1720076,324158.08
BANKNIFTY OPTIONS,164926,32254.99,166890,32644.22,184766,36019.16
FINNIFTY OPTIONS,21906,3785.2,20712,3580.78,10925,1880.96
MIDCPNIFTY OPTIONS,59627,10805.09,59170,10712.58,23693,4312.06
NIFTY OPTIONS,4929487,925862.34,5005581,940331.39,1500535,281919.14
NIFTYNXT50 OPTIONS,110,18.81,133,22.75,157,26.75
,,,,,,
STOCK FUTURES,308878,20779.36,318885,21846.93,5663676,394671.29
,,,,,,
STOCK OPTIONS,475483,33063.27,471808,32878.29,422448,29118.98
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
