FII DERIVATIVES STATISTICS FOR 10-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,16562,3126.28,12852,2427.93,233988,44013.26
BANKNIFTY FUTURES,4553,873.21,3724,714.19,36889,7080.01
FINNIFTY FUTURES,16,2.73,19,3.24,560,95.51
MIDCPNIFTY FUTURES,1062,194.34,377,69.01,24702,4525.89
NIFTY FUTURES,10921,2054.31,8685,1633.49,171213,32205.79
NIFTYNXT50 FUTURES,10,1.70,47,8.00,624,106.06
,,,,,,
INDEX OPTIONS,3672778,689285.36,3743457,702726.73,1550711,291037.55
BANKNIFTY OPTIONS,114195,21990.71,115124,22155.26,223894,42735.96
FINNIFTY OPTIONS,9950,1696.11,9086,1552.64,5504,934.60
MIDCPNIFTY OPTIONS,38186,6986.23,38822,7084.20,22729,4149.69
NIFTY OPTIONS,3510334,658593.04,3580291,671911.67,1298289,243167.32
NIFTYNXT50 OPTIONS,113,19.27,134,22.96,295,49.97
,,,,,,
STOCK FUTURES,266030,18227.43,257360,17972.61,5461687,384234.75
,,,,,,
STOCK OPTIONS,335855,23861.13,330316,23526.96,362367,25147.71
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
