FII DERIVATIVES STATISTICS FOR 07-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,19681,3779.03,11633,2230.00,222134,42137.26
BANKNIFTY FUTURES,6605,1307.13,3699,731.94,29031,5740.34
FINNIFTY FUTURES,71,12.42,88,15.41,113,19.75
MIDCPNIFTY FUTURES,645,117.97,456,83.39,21486,3934.71
NIFTY FUTURES,12316,2333.92,7328,1388.58,170798,32320.69
NIFTYNXT50 FUTURES,44,7.59,62,10.69,706,121.76
,,,,,,
INDEX OPTIONS,21081356,3979170.61,20999920,3963001.32,1271011,240881.92
BANKNIFTY OPTIONS,153506,30327.64,154021,30360.16,219280,43162.55
FINNIFTY OPTIONS,10988,1935.27,11811,2087.35,11200,1949.39
MIDCPNIFTY OPTIONS,35894,6533.46,36070,6563.06,28309,5157.98
NIFTY OPTIONS,20880876,3940358.31,20797936,3923976.51,1012110,190592.77
NIFTYNXT50 OPTIONS,92,15.93,82,14.24,112,19.23
,,,,,,
STOCK FUTURES,250747,17587.17,271505,19154.51,5606573,394110.15
,,,,,,
STOCK OPTIONS,307813,22767.03,310937,22949.45,310151,21652.75
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
