FII DERIVATIVES STATISTICS FOR 08-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12306,2285.1,21717,4047.44,218914,40352.06
BANKNIFTY FUTURES,2954,572.47,6396,1240.17,41697,8051.51
FINNIFTY FUTURES,60,10.28,65,11.12,713,121.62
MIDCPNIFTY FUTURES,824,145.81,1320,233.37,21585,3794.34
NIFTY FUTURES,8449,1553.4,13902,2557.18,154138,28256.37
NIFTYNXT50 FUTURES,19,3.15,34,5.6,781,128.21
,,,,,,
INDEX OPTIONS,4684317,863054.41,4688214,863202.82,1489990,273657.62
BANKNIFTY OPTIONS,103996,20324.65,105634,20621.18,165639,31888.35
FINNIFTY OPTIONS,9892,1706.6,10700,1849.59,8707,1480.95
MIDCPNIFTY OPTIONS,27426,4916.31,27526,4942.04,14555,2548.41
NIFTY OPTIONS,4542987,836104.18,4544324,835784.99,1301023,237729.1
NIFTYNXT50 OPTIONS,16,2.67,30,5.03,66,10.81
,,,,,,
STOCK FUTURES,271752,18363.58,311421,21088.96,5461030,366535.78
,,,,,,
STOCK OPTIONS,291359,20112.87,285587,19758.56,278880,18692.54
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
