FII DERIVATIVES STATISTICS FOR 11-Dec-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15837,3109.11,14482,2817.65,190618,37000.66
BANKNIFTY FUTURES,4910,1010.68,2373,486.38,27910,5720.91
FINNIFTY FUTURES,21,3.78,31,5.58,243,43.73
MIDCPNIFTY FUTURES,891,166.10,380,71.21,16399,3156.55
NIFTY FUTURES,9976,1921.93,11652,2246.66,145246,27939.70
NIFTYNXT50 FUTURES,39,6.63,46,7.82,820,139.76
,,,,,,
INDEX OPTIONS,6220963,1210157.55,6270243,1220244.48,2156278,419199.74
BANKNIFTY OPTIONS,185800,38389.43,186424,38483.76,302527,61378.88
FINNIFTY OPTIONS,4357,777.75,4208,749.83,6062,1085.37
MIDCPNIFTY OPTIONS,48340,9290.12,47905,9189.07,42445,8148.56
NIFTY OPTIONS,5982240,1161661.62,6031471,1171781.48,1804470,348455.29
NIFTYNXT50 OPTIONS,226,38.63,235,40.35,775,131.63
,,,,,,
STOCK FUTURES,273168,18631.67,230126,15876.16,5881372,394850.83
,,,,,,
STOCK OPTIONS,365890,26169.75,364694,26089.94,464097,31298.77
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
