FII DERIVATIVES STATISTICS FOR 06-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10815,2091.54,13451,2604.72,192998,37391.99
BANKNIFTY FUTURES,2013,407.71,2373,480.82,37113,7519.15
FINNIFTY FUTURES,40,7.08,69,12.21,385,68.03
MIDCPNIFTY FUTURES,2062,388.17,1261,237.63,16931,3179.22
NIFTY FUTURES,6612,1273.24,9658,1858.37,137980,26523.29
NIFTYNXT50 FUTURES,88,15.35,90,15.69,589,102.30
,,,,,,
INDEX OPTIONS,5411870,1043925.08,5442493,1049663.42,1856502,356246.19
BANKNIFTY OPTIONS,88334,18033.14,88945,18156.48,165964,33401.49
FINNIFTY OPTIONS,7036,1258.31,7117,1271.47,8311,1460.34
MIDCPNIFTY OPTIONS,29125,5547.06,29214,5562.37,40927,7663.72
NIFTY OPTIONS,5287179,1019051.73,5316995,1024633.69,1641061,313679.22
NIFTYNXT50 OPTIONS,196,34.85,222,39.41,239,41.41
,,,,,,
STOCK FUTURES,329543,23007.70,339927,23253.26,5980291,399482.36
,,,,,,
STOCK OPTIONS,342098,24792.22,337728,24357.57,415694,28024.88
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
