FII DERIVATIVES STATISTICS FOR 21-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15228,2926.87,12408,2356.53,208320,39618.08
BANKNIFTY FUTURES,6226,1238.52,2600,516.87,34103,6804.4
FINNIFTY FUTURES,126,22,85,14.85,605,106.23
MIDCPNIFTY FUTURES,784,145.87,911,169.32,19682,3675.11
NIFTY FUTURES,8040,1511.6,8733,1641.97,153358,28934.24
NIFTYNXT50 FUTURES,52,8.88,79,13.52,572,98.12
,,,,,,
INDEX OPTIONS,3934237,743010.21,3983456,752490.32,1499534,284461.05
BANKNIFTY OPTIONS,276438,55212.65,271641,54295.41,226291,45107.6
FINNIFTY OPTIONS,24231,4257.67,24680,4326.24,12467,2186.9
MIDCPNIFTY OPTIONS,36840,6894.52,37037,6908.5,42165,7851.71
NIFTY OPTIONS,3596628,676628.1,3650002,686943.57,1218393,229277.5
NIFTYNXT50 OPTIONS,100,17.28,96,16.6,218,37.33
,,,,,,
STOCK FUTURES,284157,20681.94,294089,20963.64,5540556,388350.47
,,,,,,
STOCK OPTIONS,409975,31921.9,413388,32157.59,817704,57069.46
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
