FII DERIVATIVES STATISTICS FOR 01-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,10772,2007.31,8124,1514.61,211839,39318.52
BANKNIFTY FUTURES,3732,709.26,2856,543.28,36770,7000.59
FINNIFTY FUTURES,56,9.41,49,8.24,761,128.16
MIDCPNIFTY FUTURES,686,122.19,414,73.76,24062,4308.95
NIFTY FUTURES,6256,1159.45,4754,880.84,149627,27777.20
NIFTYNXT50 FUTURES,42,7.00,51,8.49,619,103.62
,,,,,,
INDEX OPTIONS,6383564,1177236.90,6438823,1187700.89,1805751,334181.53
BANKNIFTY OPTIONS,64499,12353.08,64052,12216.81,193868,36642.69
FINNIFTY OPTIONS,4678,790.66,5015,847.80,3110,520.40
MIDCPNIFTY OPTIONS,24632,4405.13,23772,4246.06,15077,2684.00
NIFTY OPTIONS,6289684,1159676.12,6345938,1170382.44,1593591,294316.94
NIFTYNXT50 OPTIONS,71,11.90,46,7.78,105,17.50
,,,,,,
STOCK FUTURES,258525,17741.51,211183,14523.03,5485426,378549.45
,,,,,,
STOCK OPTIONS,183595,12984.66,189039,13362.16,218576,14786.86
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
