FII DERIVATIVES STATISTICS FOR 07-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,14016,2720.13,28253,5441.29,206735,40031.32
BANKNIFTY FUTURES,4742,956.44,3760,761.27,36633,7455.61
FINNIFTY FUTURES,49,8.69,42,7.44,384,68.35
MIDCPNIFTY FUTURES,2202,412.74,2364,443.76,17165,3237.51
NIFTY FUTURES,6933,1326.69,21987,4211.56,151928,29161.17
NIFTYNXT50 FUTURES,90,15.56,100,17.25,625,108.69
,,,,,,
INDEX OPTIONS,8629212,1651845.16,8565655,1640222.15,2153645,413146.17
BANKNIFTY OPTIONS,162689,33228.54,165866,33858.39,176502,35703.30
FINNIFTY OPTIONS,8321,1487.79,8479,1513.77,7501,1328.04
MIDCPNIFTY OPTIONS,47356,8938.25,45853,8657.30,43654,8218.06
NIFTY OPTIONS,8410627,1608151.81,8345313,1596167.21,1925676,367842.66
NIFTYNXT50 OPTIONS,219,38.78,144,25.48,312,54.11
,,,,,,
STOCK FUTURES,330084,23753.15,353772,25256.79,6006519,401652.98
,,,,,,
STOCK OPTIONS,378696,28032.56,380854,28174.38,442444,30039.32
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
