FII DERIVATIVES STATISTICS FOR 15-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15952,3053.75,10687,2045.56,225955,43194.04
BANKNIFTY FUTURES,2340,466.86,1711,341.31,26676,5323.17
FINNIFTY FUTURES,102,17.94,94,16.56,318,56.15
MIDCPNIFTY FUTURES,552,102.09,592,109.49,22063,4082.62
NIFTY FUTURES,12911,2458.76,8195,1561.82,176354,33637.87
NIFTYNXT50 FUTURES,47,8.10,95,16.39,544,94.23
,,,,,,
INDEX OPTIONS,4847885,918335.46,4851968,919356.92,1727639,329950.53
BANKNIFTY OPTIONS,176538,35000.07,174828,34690.98,251214,49941.34
FINNIFTY OPTIONS,14820,2616.33,14566,2570.26,12836,2258.71
MIDCPNIFTY OPTIONS,45985,8465.32,45465,8354.31,38231,7044.72
NIFTY OPTIONS,4610242,872202.06,4616873,873700.59,1424910,270628.35
NIFTYNXT50 OPTIONS,300,51.68,236,40.79,448,77.41
,,,,,,
STOCK FUTURES,289051,19949.96,273375,18515.53,5610175,395634.31
,,,,,,
STOCK OPTIONS,381971,26820.27,378893,26652.05,413703,29128.86
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
