FII DERIVATIVES STATISTICS FOR 31-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,60775,11485.9,67403,12721.66,170336,31928.04
BANKNIFTY FUTURES,20723,4065.08,19380,3805.45,27745,5457.39
FINNIFTY FUTURES,575,99.98,353,61.33,720,125.1
MIDCPNIFTY FUTURES,5344,965.98,5672,1024.9,18966,3430.75
NIFTY FUTURES,34038,6338.9,41873,7808.96,122244,22803.7
NIFTYNXT50 FUTURES,95,15.96,125,21.02,661,111.09
,,,,,,
INDEX OPTIONS,24780277,4652814.66,24739609,4644858.14,882366,164752.63
BANKNIFTY OPTIONS,5045501,991203.53,5030449,988157.07,87514,17141.17
FINNIFTY OPTIONS,677315,117653.95,686732,119306.33,1240,214.8
MIDCPNIFTY OPTIONS,955013,172675.61,961915,173960.98,4755,856.56
NIFTY OPTIONS,18100375,3370933.25,18058018,3363014.07,788854,146539.59
NIFTYNXT50 OPTIONS,2073,348.32,2495,419.68,3,0.5
,,,,,,
STOCK FUTURES,566475,39446.27,587407,40976.34,5354485,367429.51
,,,,,,
STOCK OPTIONS,205486,14818.18,216477,15591.1,88193,6007.82
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
