FII DERIVATIVES STATISTICS FOR 11-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,8596,1628.58,5256,992.98,233038,43878.65
BANKNIFTY FUTURES,3767,723.28,1896,363.89,35608,6844.55
FINNIFTY FUTURES,32,5.46,35,5.98,557,95.12
MIDCPNIFTY FUTURES,517,94.54,496,90.67,24483,4481.06
NIFTY FUTURES,4241,798.65,2816,530.23,171756,32349.93
NIFTYNXT50 FUTURES,39,6.64,13,2.21,634,107.99
,,,,,,
INDEX OPTIONS,3038173,568571.14,2996864,561276.28,1707347,320785.78
BANKNIFTY OPTIONS,88725,17023.78,97036,18619.58,214615,41065.29
FINNIFTY OPTIONS,6471,1104.65,6599,1128.34,5682,966.86
MIDCPNIFTY OPTIONS,30364,5575.84,29771,5464.12,24558,4482.48
NIFTY OPTIONS,2912445,544838.14,2863275,536032.95,1462133,274210.31
NIFTYNXT50 OPTIONS,168,28.72,183,31.29,358,60.84
,,,,,,
STOCK FUTURES,203766,13869.95,242818,16644.84,5474125,384952.27
,,,,,,
STOCK OPTIONS,329920,23484.73,335947,23914.77,368938,25610.57
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
