FII DERIVATIVES STATISTICS FOR 25-Aug-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,67653,12668.51,66382,12463.09,232720,43779.64
BANKNIFTY FUTURES,7554,1463,6064,1178.05,41317,7998.89
FINNIFTY FUTURES,73,12.54,101,17.31,772,132.34
MIDCPNIFTY FUTURES,10506,1917.32,10798,1971.47,23254,4230.93
NIFTY FUTURES,49153,9213.25,49043,9232.33,166649,31293.96
NIFTYNXT50 FUTURES,367,62.39,376,63.92,728,123.52
,,,,,,
INDEX OPTIONS,4214366,792479.8,4235221,796771.95,1685377,316571.12
BANKNIFTY OPTIONS,414650,80885.65,417320,81351.87,246834,47635.81
FINNIFTY OPTIONS,48486,8329.53,46353,7960.54,15287,2614
MIDCPNIFTY OPTIONS,91314,16614.11,91438,16645.73,31177,5653.85
NIFTY OPTIONS,3659822,686634.51,3679837,690766.53,1391487,260567.25
NIFTYNXT50 OPTIONS,94,16,273,47.28,592,100.21
,,,,,,
STOCK FUTURES,2288550,158041.43,2273114,157143.6,5704931,397649.6
,,,,,,
STOCK OPTIONS,426085,30205.01,419669,29666.96,410910,28169.11
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
