FII DERIVATIVES STATISTICS FOR 26-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,58024,10747.08,77100,14336.46,234092,43453.63
BANKNIFTY FUTURES,9555,1830.85,10353,1989.86,38066,7283.39
FINNIFTY FUTURES,96,16.37,183,31.06,173,29.32
MIDCPNIFTY FUTURES,11699,2081.10,11887,2118.93,23401,4135.83
NIFTY FUTURES,36365,6766.39,54145,10106.38,171862,31905.33
NIFTYNXT50 FUTURES,309,52.37,532,90.22,590,99.76
,,,,,,
INDEX OPTIONS,9257975,1729955.23,9222963,1723182.01,2480461,460098.38
BANKNIFTY OPTIONS,952709,183460.27,949486,182856.22,391259,74481.18
FINNIFTY OPTIONS,95214,16228.07,93997,16024.71,13148,2220.75
MIDCPNIFTY OPTIONS,251213,44804.71,253653,45263.94,52351,9207.86
NIFTY OPTIONS,7958052,1485328.85,7925065,1478907.13,2022839,374043.73
NIFTYNXT50 OPTIONS,787,133.34,762,130.01,863,144.87
,,,,,,
STOCK FUTURES,1947716,134426.87,1969312,135567.92,5756635,395173.05
,,,,,,
STOCK OPTIONS,616112,43253.56,610963,42830.39,432678,29237.96
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
