FII DERIVATIVES STATISTICS FOR 18-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,12994,2566.41,12498,2449.89,223041,43898.20
BANKNIFTY FUTURES,3225,666.00,1538,316.02,43400,8942.05
FINNIFTY FUTURES,28,5.03,33,5.93,387,69.40
MIDCPNIFTY FUTURES,852,166.93,1430,279.98,19643,3836.42
NIFTY FUTURES,8838,1719.56,9457,1840.98,159047,30952.08
NIFTYNXT50 FUTURES,51,8.90,40,6.98,564,98.25
,,,,,,
INDEX OPTIONS,13838196,2697382.70,13799595,2689463.61,1572081,308074.02
BANKNIFTY OPTIONS,191111,39427.85,199639,41174.10,276109,56812.36
FINNIFTY OPTIONS,9117,1638.46,9204,1656.95,7675,1374.21
MIDCPNIFTY OPTIONS,50108,9774.74,50027,9772.91,55087,10733.18
NIFTY OPTIONS,13587374,2646456.02,13540365,2636796.11,1232497,239030.13
NIFTYNXT50 OPTIONS,486,85.63,360,63.54,713,124.14
,,,,,,
STOCK FUTURES,249945,17216.92,286412,19657.23,5994444,403641.53
,,,,,,
STOCK OPTIONS,540177,40051.54,539679,40211.63,557867,38380.42
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
