FII DERIVATIVES STATISTICS FOR 20-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,28922,5735.44,26916,5330.86,219923,43714.40
BANKNIFTY FUTURES,5192,1074.81,3746,777.69,46663,9675.08
FINNIFTY FUTURES,99,17.94,95,17.25,400,72.54
MIDCPNIFTY FUTURES,5139,1012.32,6572,1297.77,17278,3392.30
NIFTY FUTURES,18462,3625.12,16469,3232.22,154940,30462.72
NIFTYNXT50 FUTURES,30,5.23,34,5.94,642,111.77
,,,,,,
INDEX OPTIONS,5604102,1093922.71,5539540,1081682.05,2151712,425368.28
BANKNIFTY OPTIONS,376947,77830.73,381961,78843.27,321463,66581.80
FINNIFTY OPTIONS,36582,6605.91,36810,6644.25,13173,2385.59
MIDCPNIFTY OPTIONS,82073,16090.26,83255,16341.17,58864,11530.86
NIFTY OPTIONS,5107871,993286.62,5037148,979788.68,1757198,344693.68
NIFTYNXT50 OPTIONS,629,109.19,366,64.68,1014,176.35
,,,,,,
STOCK FUTURES,2073480,140518.47,2066154,139852.92,5918708,401966.47
,,,,,,
STOCK OPTIONS,730235,53744.22,718455,52897.52,515276,35516.67
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
