FII DERIVATIVES STATISTICS FOR 03-Dec-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,14462,2871.19,28072,5504.38,157871,30859.53
BANKNIFTY FUTURES,5019,1040.45,6087,1263.07,23788,4888.77
FINNIFTY FUTURES,17,3.06,20,3.60,253,45.74
MIDCPNIFTY FUTURES,2414,469.47,464,89.67,15053,2929.00
NIFTY FUTURES,6952,1347.91,21437,4137.02,118121,22883.37
NIFTYNXT50 FUTURES,60,10.31,64,11.02,656,112.64
,,,,,,
INDEX OPTIONS,4497809,880650.72,4456462,872296.43,1945293,380176.54
BANKNIFTY OPTIONS,125849,26232.92,124182,25828.42,219264,45102.56
FINNIFTY OPTIONS,3584,650.05,3598,652.34,6686,1200.35
MIDCPNIFTY OPTIONS,36592,7250.90,36141,7153.97,25390,4918.19
NIFTY OPTIONS,4331561,846478.08,4292359,838629.86,1693557,328887.72
NIFTYNXT50 OPTIONS,223,38.77,182,31.84,396,67.72
,,,,,,
STOCK FUTURES,245422,17072.32,282819,19664.51,5784979,390435.78
,,,,,,
STOCK OPTIONS,308503,22323.20,307958,22204.21,343053,23108.20
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
