FII DERIVATIVES STATISTICS FOR 18-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,21744,4180.42,14743,2833.19,199285,38116.36
BANKNIFTY FUTURES,6386,1249.51,3945,772.22,27193,5324.15
FINNIFTY FUTURES,54,9.38,43,7.48,564,98.07
MIDCPNIFTY FUTURES,878,162.74,716,132.72,23789,4423.76
NIFTY FUTURES,14399,2754.12,10008,1915.39,147196,28176.01
NIFTYNXT50 FUTURES,27,4.68,31,5.38,543,94.37
,,,,,,
INDEX OPTIONS,4971289,943177.08,4914566,932377.49,1807068,345393.36
BANKNIFTY OPTIONS,214869,41836.84,212304,41346.97,255190,49773.72
FINNIFTY OPTIONS,12911,2240.03,12980,2252.90,6520,1131.49
MIDCPNIFTY OPTIONS,43998,8133.73,44549,8232.28,31590,5852.98
NIFTY OPTIONS,4699440,890954.28,4644671,880534.64,1513443,288578.83
NIFTYNXT50 OPTIONS,71,12.20,62,10.70,325,56.33
,,,,,,
STOCK FUTURES,249870,17920.30,249377,17697.72,5559301,396718.35
,,,,,,
STOCK OPTIONS,427982,31710.19,422220,31215.04,446520,31772.25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
