FII DERIVATIVES STATISTICS FOR 28-Oct-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,55041,10809.49,72037,14177.32,151150,29785.37
BANKNIFTY FUTURES,14597,2972.86,16318,3327.16,37425,7665.96
FINNIFTY FUTURES,475,84.68,377,67.34,433,77.62
MIDCPNIFTY FUTURES,2782,520.60,2921,546.96,15439,2904.24
NIFTY FUTURES,36850,7172.77,52042,10169.81,97320,19044.92
NIFTYNXT50 FUTURES,337,58.58,379,66.05,533,92.64
,,,,,,
INDEX OPTIONS,26434984,5165897.07,26265224,5133306.46,1138603,222658.66
BANKNIFTY OPTIONS,4874933,991458.08,4900900,996651.20,141971,28926.47
FINNIFTY OPTIONS,597678,106672.56,605369,108020.13,905,161.50
MIDCPNIFTY OPTIONS,629620,117635.09,619621,115753.37,16176,3026.96
NIFTY OPTIONS,20329957,3949646.21,20136654,3912416.43,979548,190543.21
NIFTYNXT50 OPTIONS,2796,485.13,2680,465.33,3,0.52
,,,,,,
STOCK FUTURES,664481,48818.72,647306,47567.31,5558418,398114.15
,,,,,,
STOCK OPTIONS,234103,18123.19,252916,19532.36,117574,8184.96
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
