FII DERIVATIVES STATISTICS FOR 04-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,17720,3434.30,28111,5457.55,194406,37810.29
BANKNIFTY FUTURES,1574,320.33,3142,639.57,37323,7591.81
FINNIFTY FUTURES,21,3.73,34,6.05,370,65.72
MIDCPNIFTY FUTURES,740,140.41,1281,243.07,15778,2986.23
NIFTY FUTURES,15370,2967.18,23628,4564.29,140314,27057.36
NIFTYNXT50 FUTURES,15,2.64,26,4.58,621,109.17
,,,,,,
INDEX OPTIONS,14379567,2782505.82,14077282,2723926.09,1431027,275954.28
BANKNIFTY OPTIONS,78476,16100.02,77620,15927.65,161573,32679.83
FINNIFTY OPTIONS,4810,861.78,4774,856.21,7118,1258.24
MIDCPNIFTY OPTIONS,26134,4995.52,25581,4892.60,40420,7642.78
NIFTY OPTIONS,14269950,2760513.20,13969183,2702227.43,1221726,234340.28
NIFTYNXT50 OPTIONS,197,35.28,124,22.20,189,33.15
,,,,,,
STOCK FUTURES,271340,18866.23,343955,23537.86,5942337,399946.61
,,,,,,
STOCK OPTIONS,330144,24114.48,319180,23257.35,373926,25389.58
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
