FII DERIVATIVES STATISTICS FOR 29-Sep-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,58599,10894.99,61221,11423.12,249582,46393.90
BANKNIFTY FUTURES,10822,2070.39,10485,2012.60,38113,7309.58
FINNIFTY FUTURES,44,7.48,68,11.54,163,27.67
MIDCPNIFTY FUTURES,5311,943.23,4491,797.63,22803,4048.96
NIFTY FUTURES,42276,7849.10,46104,8588.96,187986,34919.78
NIFTYNXT50 FUTURES,146,24.77,73,12.39,517,87.91
,,,,,,
INDEX OPTIONS,13728862,2548895.94,13711390,2545725.57,2689336,498742.92
BANKNIFTY OPTIONS,1509424,288740.42,1503702,287607.55,424614,80937.08
FINNIFTY OPTIONS,194970,33057.10,196939,33391.47,12345,2086.87
MIDCPNIFTY OPTIONS,339224,60164.99,344149,61055.03,50704,8953.70
NIFTY OPTIONS,11683677,2166667.35,11665135,2163421.51,2200376,406545.32
NIFTYNXT50 OPTIONS,1567,266.07,1465,250.00,1297,219.96
,,,,,,
STOCK FUTURES,1656119,113466.70,1598556,109584.39,5754446,396573.00
,,,,,,
STOCK OPTIONS,367412,26190.31,411315,29245.16,382189,25781.77
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
