FII DERIVATIVES STATISTICS FOR 25-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,23115,4404.49,36097,6857.77,221970,41698.41
BANKNIFTY FUTURES,7907,1570.66,9776,1943.1,34237,6786.73
FINNIFTY FUTURES,127,22.18,111,19.39,639,111.42
MIDCPNIFTY FUTURES,1422,258.79,1611,293.67,20004,3626.87
NIFTY FUTURES,13615,2545.46,24476,4580.85,166442,31064.54
NIFTYNXT50 FUTURES,44,7.41,123,20.76,648,108.85
,,,,,,
INDEX OPTIONS,4470535,840960.21,4484225,843401.51,1776031,333673.42
BANKNIFTY OPTIONS,392573,78297.76,392739,78416.69,288968,57172.65
FINNIFTY OPTIONS,58820,10305.74,57408,10058.07,15250,2657.34
MIDCPNIFTY OPTIONS,122922,22600.32,121600,22346.29,59774,10816.86
NIFTY OPTIONS,3896081,729732.46,3912307,732551.16,1411793,262985.27
NIFTYNXT50 OPTIONS,139,23.92,171,29.3,246,41.3
,,,,,,
STOCK FUTURES,355882,24218.04,391434,26749.75,5523752,379709.66
,,,,,,
STOCK OPTIONS,428687,31074.51,420660,30501.49,850966,58212.93
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
