FII DERIVATIVES STATISTICS FOR 18-Jul-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,15171,2889.86,27488,5285.28,211622,40048.79
BANKNIFTY FUTURES,4222,835.61,12707,2513.6,36823,7274.28
FINNIFTY FUTURES,82,14.2,136,23.55,626,108.27
MIDCPNIFTY FUTURES,348,64.42,926,171.23,20055,3707.22
NIFTY FUTURES,10473,1967.76,13679,2570.04,153567,28865.04
NIFTYNXT50 FUTURES,46,7.87,40,6.85,551,93.99
,,,,,,
INDEX OPTIONS,3296898,621086.65,3315448,624616.48,1431997,269913.04
BANKNIFTY OPTIONS,175613,35019.79,181625,36237.88,214620,42278.07
FINNIFTY OPTIONS,18906,3307.52,17256,3036.28,14026,2421.1
MIDCPNIFTY OPTIONS,31514,5885.11,33296,6218.34,43526,8025.93
NIFTY OPTIONS,3070784,576860.19,3083180,579108.16,1159563,217143.25
NIFTYNXT50 OPTIONS,81,14.04,91,15.82,262,44.69
,,,,,,
STOCK FUTURES,279447,20262.04,301518,21439.56,5594556,390485
,,,,,,
STOCK OPTIONS,353671,26796.91,353677,26897.91,811651,56529.21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
