FII DERIVATIVES STATISTICS FOR 26-Nov-2025,,,,,,
,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
INDEX FUTURES,21214,4225.14,17272,3434.69,138271,27434.72
BANKNIFTY FUTURES,7309,1493.19,3299,684.20,28044,5803.45
FINNIFTY FUTURES,92,16.66,47,8.50,370,67.21
MIDCPNIFTY FUTURES,1028,201.80,2432,478.90,15715,3105.39
NIFTY FUTURES,12653,2490.65,11453,2255.99,93521,18350.63
NIFTYNXT50 FUTURES,132,22.85,41,7.10,621,108.04
,,,,,,
INDEX OPTIONS,4628400,904203.40,4662320,911061.94,1770657,348962.28
BANKNIFTY OPTIONS,86589,18015.03,86907,18107.56,166759,34450.88
FINNIFTY OPTIONS,2298,420.93,2273,414.74,1622,293.02
MIDCPNIFTY OPTIONS,20693,4078.38,20772,4093.75,12808,2511.45
NIFTY OPTIONS,4518605,881651.49,4552234,888422.52,1589305,311678.74
NIFTYNXT50 OPTIONS,215,37.57,134,23.37,163,28.19
,,,,,,
STOCK FUTURES,274975,18862.46,241605,17083.76,5737347,391768.26
,,,,,,
STOCK OPTIONS,228696,16434.75,237124,17066.91,160033,10748.90
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes:,,,,,,
,,,,,,
Both buy and sell positions have been considered,,,,,,
Options Value (Buy/Sell) = Strike price * Qty,,,,,,
Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
,,,,,,
Value & Open Interest at the end of day:,,,,,,
Options Value (End of day) = Underlying Close Price * Qty,,,,,,
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
